term,LID,LID_old,non-lexeme,questionable,lexical_category,sense,Stem,Root,CDA_page,CDA_numeral,CAD_page,CAD_letter,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic,hurrian_loanword
gadmu,,,x,,adj,cut off,,,,,,,,,,,,,,,,,
hamṭu,,,,,adj,hot,,,,,H 71,,,,,,,,,,,,
ilāni,,,x,,,,,,,,,,,,,,,,,,,,
kašpu,,,,,adj,bewitched,,,,,K 284,,,,,,,,,,,,
kiṣru šatû,,,x,,,,,,,,,,,,,,,,,,,,
kummusu,,,,,verb,gather;consign corpse to tomb,D,,144,,,,,,,,,,,,,,
kuppuṣu,,,,,verb,make eyes squint;make bent (stative),,,147,II,,,,,,,,,,,,,
muddudu,,,,,verb,measure,D,,187,I,,,,,,,,,,,,,
nagarruru,,,,,verb,writhe;roll;meander,N,,285,,,,,,,,,,,,,,
naharmuṭu,,,,,adj,melted,,,,,N/1 126,,,,,,,,,,,,
naplusu,,,,,verb,see;look at,N,,262,,,,,,,,IGI.BAR,,,,,,
puhru,,,,,adj,gathered,,,,,P 23,,,,,,,,,,,,
qabû,,,,,adj,ordered;said,,,,,Q 22,,,,,,,,,,,,
rahṣu,,,,,adj,confident;reliant on,,,,,R 74,,,,,,,,,,,,
rammû,,,x,,adj,released;made available,,,,,R 132,,,,,,,,,,,,
rašû,,,,,adj,acquired,,,,,R 193,,,,,,,,,,,,
ša panīti,,,x,,,,,,,,,,,,,,,,,,,,
ša pūtūni,,,x,,,,,,,,,,,,,,,,,,,,
sarmu,,,,,adj,cut open,,,,,S 172,,,,,,,,,,,,
šarru,,,,,adj,bent down;descended,,,,,Š/3 356,,,,,,,,,,,,
šedû,,,,,noun,sprout,,,365,,Š/2 256,A,,,,šēdu,GIŠ.ŠE.DU₃.A,,,L1092477,,,
šu'illakku,,,,,noun,prayer of raised hands,,,381,,,,,,,,ŠU.IL₂.LA₂;ŠU.IL₂.LA₂.KAM;ŠU.IL₂.LA₂.KAM₂,,,L741215,,,
šuharmuṭu,,,,,verb,cause to melt or dissolve,Š,,231,,,,,,,,,,,,,,
šulmudu,,,,,verb,cause someone to learn something,Š,,176,,,,,,,,,,,,,,
šūšibu,,,x,,,,,,,,,,,,,,,,,,,,
Teumann,,,,,pn,king of Elam (r. 664-653 BCE),,,,,,,13;616,,,,,,,,,,
turru ana ašrīšu,,,,,verb phrase,restore,,,401,,,,,,,,,,,,,,
ubburu,,,,,verb,bind intensely;accuse someone,D,,2,,,,,,,,,,,,,,
uddušu,,,,,verb,renew;restore;resume,D,,66,,,,,,,,,,,,,,
urruku,,,,,verb,make long;be overdue,D,,22,,,,,,,,,,,,,,
zunnunu,,,,,verb,provision;provide for or with,D,,444,,,,,,,,,,,,,,